제품코드,제품명,제품명(짧은),보관창고,생산일자,보관상태,재고,유통기한(%),대분류,중분류
27,"Напиток безалкогольный газированный ""Милкис"" (""Milkis""), 250","""Милкис"" (""Milkis""), 250мл",LProduct,15062027,Good,12244,79.31,Beverage,Milkis
2157,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКЛЭТ ПАЙ» «LOTTE,ЛОТТЕ ЧОКЛЭТ ПАЙ СО ВКУСОМ СЫРА 6шт,LProduct,28062026,Good,11004,60,PIE,Chocopie
2160,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» (LOTTE,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» 168г (,LProduct,14112026,Good,7191,98.08,PIE,Chocopie
2162,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ КАКАО»,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ КАКАО»,LProduct,18062026,Good,6282,57.26,PIE,Chocopie
2161,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» (LOTTE,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» 336г (,LProduct,7092026,Good,5724,79.45,PIE,Chocopie
26,"Напиток безалкогольный газированный ""Милкис клубника"" (""Milk","""Милкис клубника"" (""Milkis Strawberry""),250мл",LProduct,14072027,Good,5508,83.33,Beverage,Milkis
2158,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКЛЭТ ПАЙ» «LOTTE,"ЛОТТЕ ЧОКЛЭТ ПАЙ"" СО ВКУСОМ СЫРА, 12шт",LProduct,11092026,Good,4549,80.55,PIE,Chocopie
1672,Печенье прослоенное глазированное «ЛОТТЕ ЧОКЛЭТ ПАЙ»(LOTTE C,ЧокоЛЭТПАЙ 6 шт Печеньепрослоенноеглазированное пачка168г,LProduct,15112026,Good,4245,98.36,PIE,Chocopie
2157,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКЛЭТ ПАЙ» «LOTTE,ЛОТТЕ ЧОКЛЭТ ПАЙ СО ВКУСОМ СЫРА 6шт,LProduct,27062026,Good,4087,59.73,PIE,Chocopie
2160,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» (LOTTE,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» 168г (,LProduct,13112026,Good,3047,97.81,PIE,Chocopie
1682,Печенье прослоенное глазированное «Лотте Чоклэт пай с аромат,ЧокЛэт пай с ароматом банана 12 шт.,LProduct,3092026,Good,2789,78.36,PIE,Chocopie
2153,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 6шт,LProduct,29062026,Good,2580.025,60.27,PIE,Chocopie
1689,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКЛЭТ ПАЙ СО ВКУС","""ЛОТТЕ ЧОК ЛЭТ ПАЙ СО ВКУСОМ КЛУБНИКИ "" 168г (28г х 6шт)",LProduct,10062026,Good,2491,55.07,PIE,Chocopie
27,"Напиток безалкогольный газированный ""Милкис"" (""Milkis""), 250","""Милкис"" (""Milkis""), 250мл",LProduct,6042027,Good,2286,69.58,Beverage,Milkis
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,20082026,Good,2202,74.52,PIE,Chocopie
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,24082026,Good,2151,75.62,PIE,Chocopie
41,"Напиток безалкогольный негазированный ""Aloe Vera Pomegranate","""Aloe Vera Pomegranate"" (Алоэ Вера Гранат),240мл",LProduct,18072026,Good,2086,33.19,Beverage,Aloe
2161,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» (LOTTE,Мучное кондитерское изделие в глазури «ЛОТТЕ ЧОКОПАЙ» 336г (,LProduct,8092026,Good,2018,79.73,PIE,Chocopie
77,Соломка в глазури с воздушной кукурузой «Пеперо Кранки» (Pep,"«Пеперо Кранки»,39г",LProduct,19062026,Good,1945,57.53,Chocolate,Pepero
19,"Соломка с шоколадом ""Пеперо Классический""(Pepero Original),4",ПепероОригинал конд,LProduct,13042026,Good,1922,39.18,Chocolate,Pepero
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,1052026,Good,1906,44.11,PIE,Chocopie
